gruppo,corda,serie,cerchio,misura,cod_carico,cod_vel,marca,modello,dot,battistrada,lotto,shore,targa,cliente,rete,scaffale,ubicazione,pezzi,stagione
Nuove,205,55,16,2055516,91,V,CONTINENTAL,ECO CONTACT 5,O916,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,185,65,15,1856515,88,H,MICHELIN,ENERGY SAVER + ,3915,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,0,ESTIVO
Nuove,175,60,15,1756015,81,H,SAILUN,ATREZO ECO,2216,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,195,55,15,1955515,85,V,FALKEN,ZE 914,1816,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,165,65,14,1656514,79,T,VREDSTEIN,nil,3613,nil,531,58:05:00,nil,nil,nil,Scaffale negozio,Scaffale negozio,0,INVERNALE
Nuove,165,65,14,1656514,79,T,JINYU,nil,2913,nil,526,70,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,165,70,14,1657014,81,T,BRIDGESTONE,nil,1513,nil,527,70,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,225,55,17,2255517,97,H,JINYU,nil,1513,nil,474,66,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,225,55,17,2255517,97,H,JINYU,nil,2313,nil,473,66,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,215,55,18,2155518,99,V,MICHELIN,CROSS CLIMATE,5016,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ALL SEASON
Nuove,165,70,14,1657014,81,T,VREDSTEIN,nil,3713,nil,529,69:05:00,nil,nil,nil,Scaffale negozio,Scaffale negozio,3,ALL SEASON
Nuove,165,65,15,1656515,81,T,BRIDGESTONE,nil,2313,nil,522,68,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,165,65,15,1656515,81,T,BRIDGESTONE,nil,2313,nil,521,68,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,215,65,15,2156515,96,H,EVERGREEN,nil,2512,nil,591,67,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,215,45,17,2154517,91,W XL,OVATION,nil,3416,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,205,40,Z17,20540Z17,84,W XL,EVERGREEN,nil,2512,nil,501,70,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,185,60,15,1856015,88,H XL,AUTOGRIP,F101,4213,nil,nil,69,nil,nil,nil,PIANO TERRA,1BA,4,ESTIVO
Nuove,225,45,17,2254517,91,Y FR,MATADOR,MP 47,2216,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,205,50,Z17,20550Z17,93,W XL,RIKEN,nil,2716,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,205,55,16,2055516,94,V XL,RIKEN,nil,1616,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,205,55,16,2055516,91,H,MARSHAL,nil,3916,nil,CASTIGLIONI MARCO,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,205,55,16,2055516,91,H,SAILUN,nil,2614,nil,556,65,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,225,55,16,2255516,95,H,PIRELLI,nil,3315,nil,532,64:05:00,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,195,55,16,1955516,87,V,SAILUN,nil,2916,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ALL SEASON
Nuove,165,70,13,1657013,79,T,NOKIAN,nil,3712,nil,505,71,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,195,55,15,1955515,85,H,VREDESTEIN,nil,2612,nil,96,78:05:00,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,205,55,16,2055516,91,V,PIRELLI,P7,2416,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,10,ESTIVO
Nuove,215,45,Z17,21545Z17,91,Y,FALKEN,AZENIS,2514,nil,nil,78:05:00,nil,nil,nil,Scaffale negozio,Scaffale negozio,2,ESTIVO
Nuove,215,55,16,2155516,97,W XL,SAILUN,nil,4215,nil,nil,66:05:00,nil,nil,nil,PIANO TERRA,1AM,2,ESTIVO
Nuove,205,55,16,2055516,91,V,MICHELIN,ENERGY SAVER,4516,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,195,65,15,1956515,91,H,MICHELIN,ENERGY SAVER +  ,2416,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,225,45,17,2254517,99,W XL,EVERGREEN,EU 72,4712,nil,nil,75,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,195,60,15,1956015,88,T,GOODYEAR,nil,2413,nil,539,65,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
